Kommunkod	Kommunnamn	Folkmängd	Folkökning	Levande_födda	Döda	Inflyttade	Utflyttade	Flyttningsnetto	Justeringar
01	Stockholm                                         	1981263	31747	27948	15540	65122	45564	19558	-219
0127	Botkyrka                                          	80055	1024	1166	448	6426	6118	308	-2
0162	Danderyd                                          	30851	62	337	272	2372	2364	8	-11
0125	Ekerö                                             	24779	92	305	129	1414	1489	-75	-9
0136	Haninge                                           	74968	1270	994	483	5518	4764	754	5
0126	Huddinge                                          	94209	2382	1272	551	8911	7248	1663	-2
0123	Järfälla                                          	64355	928	759	450	4647	4023	624	-5
0186	Lidingö                                           	43111	401	455	389	3159	2810	349	-14
0182	Nacka                                             	85661	1358	1256	607	6672	5952	720	-11
0188	Norrtälje                                         	55528	303	484	599	2540	2114	426	-8
0140	Nykvarn                                           	9035	109	101	54	610	550	60	2
0192	Nynäshamn                                         	25499	146	273	237	1550	1438	112	-2
0128	Salem                                             	15177	112	210	77	893	915	-22	1
0191	Sigtuna                                           	38372	579	483	264	2945	2577	368	-8
0163	Sollentuna                                        	62097	710	797	394	4440	4127	313	-6
0184	Solna                                             	65289	1971	1112	643	9369	7848	1521	-19
0180	Stockholm                                         	810120	14957	12867	7136	58673	49340	9333	-107
0183	Sundbyberg                                        	36079	1001	605	298	4698	4005	693	1
0181	Södertälje                                        	84753	1111	1139	723	5574	4868	706	-11
0138	Tyresö                                            	42332	285	514	257	2424	2394	30	-2
0160	Täby                                              	62266	633	658	437	3873	3455	418	-6
0114	Upplands Väsby                                    	38248	193	445	273	2485	2463	22	-1
0139	Upplands-Bro                                      	22682	461	273	122	1761	1453	308	2
0115	Vallentuna                                        	28954	572	395	181	1885	1526	359	-1
0187	Vaxholm                                           	10747	147	125	70	730	638	92	0
0120	Värmdö                                            	37376	506	478	224	2239	1983	256	-4
0117	Österåker                                         	38720	434	445	222	2180	1968	212	-1
03	Uppsala                                           	327188	3918	4069	2634	15015	12527	2488	-5
0381	Enköping                                          	38978	210	394	356	1689	1517	172	0
0331	Heby                                              	13407	-85	112	147	683	738	-55	5
0305	Håbo                                              	19225	294	256	104	1167	1028	139	3
0330	Knivsta                                           	14259	305	211	77	1027	866	161	10
0360	Tierp                                             	20153	85	207	266	984	836	148	-4
0380	Uppsala                                           	190668	3127	2595	1336	11597	9706	1891	-23
0319	Älvkarleby                                        	9064	-31	93	104	508	528	-20	0
0382	Östhammar                                         	21434	13	201	244	880	828	52	4
04	Södermanland                                      	267524	2334	2833	3002	11039	8523	2516	-13
0484	Eskilstuna                                        	94785	1442	1092	1062	4570	3157	1413	-1
0482	Flen                                              	16133	-58	134	201	1032	1022	10	-1
0461	Gnesta                                            	10179	148	107	122	741	578	163	0
0483	Katrineholm                                       	32207	45	328	433	1755	1594	161	-11
0480	Nyköping                                          	50973	213	544	560	2368	2137	231	-2
0481	Oxelösund                                         	11170	22	96	134	668	609	59	1
0486	Strängnäs                                         	31715	280	334	280	1728	1500	228	-2
0488	Trosa                                             	11362	324	127	102	831	530	301	-2
0428	Vingåker                                          	9000	-82	71	108	506	556	-50	5
05	Östergötland                                      	423169	2360	4671	4381	14180	12100	2080	-10
0560	Boxholm                                           	5260	37	46	61	281	229	52	0
0562	Finspång                                          	20589	-114	176	265	860	882	-22	-3
0513	Kinda                                             	9885	-62	88	121	386	416	-30	1
0580	Linköping                                         	141863	1496	1697	1256	8448	7384	1064	-9
0586	Mjölby                                            	25654	119	290	297	1188	1061	127	-1
0583	Motala                                            	41953	-107	419	428	1577	1676	-99	1
0581	Norrköping                                        	128060	1380	1554	1321	6008	4866	1142	5
0582	Söderköping                                       	13959	-61	110	141	779	810	-31	1
0584	Vadstena                                          	7475	-61	48	104	385	390	-5	0
0563	Valdemarsvik                                      	7852	-97	56	113	446	484	-38	-2
0512	Ydre                                              	3726	-34	24	50	182	189	-7	-1
0561	Åtvidaberg                                        	11543	-115	116	150	447	528	-81	0
0509	Ödeshög                                           	5350	-21	47	74	309	301	8	-2
06	Jönköping                                         	335246	1636	3814	3403	10613	9380	1233	-8
0604	Aneby                                             	6523	17	62	74	427	397	30	-1
0686	Eksjö                                             	16312	-123	150	178	824	921	-97	2
0662	Gislaved                                          	29380	50	330	257	1163	1183	-20	-3
0617	Gnosjö                                            	9658	1	88	90	430	429	1	2
0643	Habo                                              	10526	151	157	83	588	513	75	2
0680	Jönköping                                         	125154	1445	1573	1159	6052	5019	1033	-2
0642	Mullsjö                                           	7086	40	93	74	420	399	21	0
0682	Nässjö                                            	29511	50	293	382	1339	1196	143	-4
0684	Sävsjö                                            	10883	-54	108	129	492	524	-32	-1
0687	Tranås                                            	18066	146	165	199	888	707	181	-1
0665	Vaggeryd                                          	12981	42	154	122	592	582	10	0
0685	Vetlanda                                          	26343	-22	293	294	873	894	-21	0
0683	Värnamo                                           	32823	-107	348	362	1204	1295	-91	-2
07	Kronoberg                                         	182224	1437	2040	1856	7674	6430	1244	9
0764	Alvesta                                           	18775	-1	206	176	960	994	-34	3
0761	Lessebo                                           	8085	15	88	109	487	452	35	1
0781	Ljungby                                           	27430	154	295	293	1037	887	150	2
0767	Markaryd                                          	9600	-41	112	127	460	487	-27	1
0763	Tingsryd                                          	12502	-98	108	167	556	594	-38	-1
0760	Uppvidinge                                        	9347	-137	85	142	548	631	-83	3
0780	Växjö                                             	81074	1512	991	646	5215	4047	1168	-1
0765	Älmhult                                           	15411	33	155	196	771	698	73	1
08	Kalmar                                            	233397	-437	2195	2825	7597	7404	193	0
0885	Borgholm                                          	10855	-78	81	180	578	557	21	0
0862	Emmaboda                                          	9331	-52	80	116	437	449	-12	-4
0860	Hultsfred                                         	14046	-150	117	183	807	889	-82	-2
0821	Högsby                                            	5930	-1	57	81	407	384	23	0
0880	Kalmar                                            	61693	160	704	611	3774	3709	65	2
0861	Mönsterås                                         	12956	-158	104	151	569	680	-111	0
0840	Mörbylånga                                        	13737	129	130	138	800	662	138	-1
0881	Nybro                                             	19557	-86	177	262	898	902	-4	3
0882	Oskarshamn                                        	26309	15	251	361	1136	1014	122	3
0834	Torsås                                            	7076	-57	54	124	346	332	14	-1
0884	Vimmerby                                          	15551	-57	122	175	626	630	-4	0
0883	Västervik                                         	36356	-102	318	443	1288	1265	23	0
09	Gotland                                           	57004	-118	548	615	1972	2023	-51	0
0980	Gotland                                           	57004	-118	548	615	1972	2023	-51	0
10	Blekinge                                          	152259	359	1550	1739	5404	4857	547	1
1082	Karlshamn                                         	30959	-93	278	361	1178	1191	-13	3
1080	Karlskrona                                        	62804	466	728	735	2992	2523	469	4
1060	Olofström                                         	13167	-31	113	154	577	563	14	-4
1081	Ronneby                                           	28489	-2	278	284	1270	1265	5	-1
1083	Sölvesborg                                        	16840	19	153	205	761	689	72	-1
12	Skåne                                             	1214758	15401	14979	11917	37561	25158	12403	-64
1260	Bjuv                                              	14613	143	182	140	1243	1142	101	0
1272	Bromölla                                          	12200	19	126	115	576	568	8	0
1231	Burlöv                                            	16230	278	196	150	1462	1232	230	2
1278	Båstad                                            	14203	-39	108	177	787	759	28	2
1285	Eslöv                                             	31123	348	385	314	1897	1622	275	2
1283	Helsingborg                                       	126754	1768	1592	1273	7500	6052	1448	1
1293	Hässleholm                                        	50006	226	533	539	2312	2083	229	3
1284	Höganäs                                           	24248	183	246	268	1296	1091	205	0
1266	Hörby                                             	14757	173	167	149	994	839	155	0
1267	Höör                                              	15039	115	155	152	980	870	110	2
1276	Klippan                                           	16336	82	147	202	1148	1013	135	2
1290	Kristianstad                                      	77977	732	867	808	3817	3131	686	-13
1261	Kävlinge                                          	28255	509	400	203	1703	1389	314	-2
1282	Landskrona                                        	40860	441	471	447	2972	2547	425	-8
1262	Lomma                                             	20449	426	254	176	1389	1042	347	1
1281	Lund                                              	107351	2065	1272	723	9714	8197	1517	-1
1280	Malmö                                             	286535	5734	4469	2920	20551	16315	4236	-51
1273	Osby                                              	12648	25	99	125	727	679	48	3
1275	Perstorp                                          	6972	42	90	77	587	557	30	-1
1291	Simrishamn                                        	19356	50	152	270	993	826	167	1
1265	Sjöbo                                             	18093	78	212	199	1167	1104	63	2
1264	Skurup                                            	14784	-4	168	127	800	842	-42	-3
1230	Staffanstorp                                      	21667	459	278	139	1632	1316	316	4
1214	Svalöv                                            	13184	41	164	124	988	988	0	1
1263	Svedala                                           	19390	241	239	153	1183	1026	157	-2
1270	Tomelilla                                         	12816	44	139	171	873	796	77	-1
1287	Trelleborg                                        	41558	539	472	432	2071	1573	498	1
1233	Vellinge                                          	32843	278	330	211	1665	1505	160	-1
1286	Ystad                                             	27870	151	250	322	1464	1234	230	-7
1277	Åstorp                                            	14533	300	171	106	1269	1035	234	1
1292	Ängelholm                                         	38854	105	397	435	1892	1749	143	0
1257	Örkelljunga                                       	9592	15	109	116	604	579	25	-3
1256	Östra Göinge                                      	13662	-166	139	154	627	779	-152	1
13	Halland                                           	293572	2179	3167	2710	10486	8765	1721	1
1382	Falkenberg                                        	40451	287	435	408	1647	1382	265	-5
1380	Halmstad                                          	90241	514	979	892	4191	3766	425	2
1315	Hylte                                             	10273	16	94	110	512	482	30	2
1384	Kungsbacka                                        	72676	734	795	530	3175	2703	472	-3
1381	Laholm                                            	23258	69	203	247	1117	1002	115	-2
1383	Varberg                                           	56673	559	661	523	2078	1664	414	7
14	Västra Götaland                                   	1558130	10832	18555	15395	39902	32252	7650	22
1440	Ale                                               	27323	231	290	197	1596	1463	133	5
1489	Alingsås                                          	37247	508	457	361	1919	1499	420	-8
1460	Bengtsfors                                        	9897	-60	84	154	457	445	12	-2
1443	Bollebygd                                         	8232	39	93	62	437	431	6	2
1490	Borås                                             	101487	502	1205	1067	4271	3913	358	6
1438	Dals-Ed                                           	4788	-47	39	57	225	253	-28	-1
1445	Essunga                                           	5625	-13	55	70	301	299	2	0
1499	Falköping                                         	31349	38	307	400	1217	1086	131	0
1439	Färgelanda                                        	6744	-26	57	81	369	370	-1	-1
1444	Grästorp                                          	5851	20	62	70	332	304	28	0
1447	Gullspång                                         	5371	-54	36	81	341	353	-12	3
1480	Göteborg                                          	500197	6695	7195	4499	31442	27447	3995	4
1471	Götene                                            	13085	29	135	124	610	592	18	0
1466	Herrljunga                                        	9280	-24	73	100	416	414	2	1
1497	Hjo                                               	8809	0	89	90	417	416	1	0
1401	Härryda                                           	33580	611	467	216	1999	1638	361	-1
1446	Karlsborg                                         	6790	-60	53	89	261	284	-23	-1
1482	Kungälv                                           	40268	619	479	341	2146	1665	481	0
1441	Lerum                                             	38085	374	486	233	1937	1811	126	-5
1494	Lidköping                                         	37922	149	386	434	1473	1275	198	-1
1462	Lilla Edet                                        	12831	-4	151	132	754	777	-23	0
1484	Lysekil                                           	14659	26	135	195	746	661	85	1
1493	Mariestad                                         	23825	-46	205	285	996	963	33	1
1463	Mark                                              	33807	78	383	401	1452	1357	95	1
1461	Mellerud                                          	9442	-111	98	135	444	518	-74	0
1430	Munkedal                                          	10245	-11	102	122	539	532	7	2
1481	Mölndal                                           	59812	382	752	494	4427	4300	127	-3
1421	Orust                                             	15327	-46	126	173	800	800	0	1
1402	Partille                                          	33802	103	353	278	2293	2263	30	-2
1495	Skara                                             	18518	-26	179	223	1018	1007	11	7
1496	Skövde                                            	50610	413	545	504	2690	2322	368	4
1427	Sotenäs                                           	9170	-110	64	136	376	412	-36	-2
1415	Stenungsund                                       	23657	268	265	150	1292	1139	153	0
1486	Strömstad                                         	11607	49	110	132	629	557	72	-1
1465	Svenljunga                                        	10313	-118	90	145	493	557	-64	1
1435	Tanum                                             	12271	25	102	150	641	564	77	-4
1472	Tibro                                             	10662	51	118	99	513	478	35	-3
1498	Tidaholm                                          	12693	42	125	137	500	447	53	1
1419	Tjörn                                             	14963	19	139	136	815	801	14	2
1452	Tranemo                                           	11721	-29	118	138	514	520	-6	-3
1488	Trollhättan                                       	54487	187	608	544	2721	2602	119	4
1473	Töreboda                                          	9256	-120	71	120	430	500	-70	-1
1485	Uddevalla                                         	51186	265	567	582	2444	2169	275	5
1491	Ulricehamn                                        	22706	164	202	252	1071	861	210	4
1470	Vara                                              	15868	-140	148	203	710	799	-89	4
1442	Vårgårda                                          	10976	-12	123	128	539	551	-12	5
1487	Vänersborg                                        	36991	52	391	390	1624	1573	51	0
1492	Åmål                                              	12545	-44	102	157	485	473	12	-1
1407	Öckerö                                            	12250	-6	135	128	545	556	-11	-2
17	Värmland                                          	273374	-452	2602	3308	7327	7062	265	-11
1784	Arvika                                            	26176	-74	240	348	948	917	31	3
1730	Eda                                               	8653	4	91	121	464	427	37	-3
1782	Filipstad                                         	10682	-100	85	167	504	528	-24	6
1763	Forshaga                                          	11415	-29	109	93	563	609	-46	1
1764	Grums                                             	9250	-52	81	113	453	472	-19	-1
1783	Hagfors                                           	12804	-189	79	194	449	523	-74	0
1761	Hammarö                                           	14655	108	156	119	819	744	75	-4
1780	Karlstad                                          	83994	353	935	816	4890	4648	242	-8
1715	Kil                                               	11674	-74	115	123	597	665	-68	2
1781	Kristinehamn                                      	23958	52	216	320	1080	924	156	0
1762	Munkfors                                          	3814	-66	23	68	197	220	-23	2
1760	Storfors                                          	4383	-112	33	50	292	388	-96	1
1766	Sunne                                             	13473	-93	104	181	552	565	-13	-3
1785	Säffle                                            	15784	-84	140	232	623	612	11	-3
1737	Torsby                                            	12707	-171	98	236	433	464	-31	-2
1765	Årjäng                                            	9952	75	97	127	437	330	107	-2
18	Örebro                                            	277732	1665	3200	3026	9237	7741	1496	-5
1882	Askersund                                         	11386	-8	97	133	502	471	31	-3
1862	Degerfors                                         	9839	-64	95	129	430	460	-30	0
1861	Hallsberg                                         	15256	-12	159	178	809	799	10	-3
1863	Hällefors                                         	7361	-114	59	107	344	410	-66	0
1883	Karlskoga                                         	29872	-116	299	402	1210	1222	-12	-1
1881	Kumla                                             	20157	305	225	206	1337	1051	286	0
1860	Laxå                                              	5870	-52	47	84	209	225	-16	1
1814	Lekeberg                                          	7111	14	107	73	414	438	-24	4
1885	Lindesberg                                        	23099	-5	202	282	1215	1147	68	7
1864	Ljusnarsberg                                      	5129	-59	29	86	328	330	-2	0
1884	Nora                                              	10375	-72	104	122	510	565	-55	1
1880	Örebro                                            	132277	1848	1777	1224	7140	5834	1306	-11
19	Västmanland                                       	249974	781	2596	2637	8373	7558	815	7
1984	Arboga                                            	13301	-68	129	189	630	640	-10	2
1982	Fagersta                                          	12267	84	135	168	654	536	118	-1
1961	Hallstahammar                                     	15014	-26	146	196	810	786	24	0
1960	Kungsör                                           	8170	-49	64	76	441	478	-37	0
1983	Köping                                            	24740	94	258	289	1179	1056	123	2
1962	Norberg                                           	5749	-39	56	66	309	338	-29	0
1981	Sala                                              	21365	-47	192	225	894	908	-14	0
1904	Skinnskatteberg                                   	4622	-64	34	59	273	312	-39	0
1907	Surahammar                                        	10062	-60	89	102	492	532	-40	-7
1980	Västerås                                          	134684	956	1493	1267	5998	5279	719	11
20	Dalarna                                           	275867	249	2775	3175	8471	7846	625	24
2084	Avesta                                            	21937	51	180	239	911	801	110	0
2081	Borlänge                                          	48185	429	600	480	2533	2227	306	3
2080	Falun                                             	55297	77	581	569	2763	2704	59	6
2026	Gagnef                                            	10107	-4	119	112	476	488	-12	1
2083	Hedemora                                          	15259	-42	150	189	797	799	-2	-1
2029	Leksand                                           	15288	-50	132	152	700	729	-29	-1
2085	Ludvika                                           	25522	97	231	335	1274	1084	190	11
2023	Malung-Sälen                                      	10385	-43	93	154	401	385	16	2
2062	Mora                                              	20153	10	188	241	839	775	64	-1
2034	Orsa                                              	6990	-101	54	83	400	471	-71	-1
2031	Rättvik                                           	10850	-33	92	161	488	452	36	0
2061	Smedjebacken                                      	10734	19	96	117	536	496	40	0
2082	Säter                                             	10957	-43	120	110	583	636	-53	0
2021	Vansbro                                           	6916	-43	66	97	215	227	-12	0
2039	Älvdalen                                          	7287	-75	73	136	254	271	-17	5
21	Gävleborg                                         	275908	352	2634	3386	8566	7448	1118	-14
2183	Bollnäs                                           	26189	-28	213	322	1013	930	83	-2
2180	Gävle                                             	93509	828	1062	982	4635	3886	749	-1
2104	Hofors                                            	9896	-143	90	157	318	395	-77	1
2184	Hudiksvall                                        	36905	-22	354	435	1411	1352	59	0
2161	Ljusdal                                           	19133	-42	155	284	793	705	88	-1
2132	Nordanstig                                        	9736	-77	87	142	497	518	-21	-1
2101	Ockelbo                                           	6027	42	62	82	346	287	59	3
2121	Ovanåker                                          	11647	-148	101	169	345	423	-78	-2
2181	Sandviken                                         	36879	75	293	469	1549	1292	257	-6
2182	Söderhamn                                         	25987	-133	217	344	967	968	-1	-5
22	Västernorrland                                    	243372	-77	2536	2972	7003	6636	367	-8
2280	Härnösand                                         	24716	-206	242	319	1053	1186	-133	4
2282	Kramfors                                          	19473	-190	148	316	832	854	-22	0
2283	Sollefteå                                         	20538	-141	196	290	797	842	-45	-2
2281	Sundsvall                                         	94955	380	1092	1024	3876	3560	316	-4
2262	Timrå                                             	17980	96	187	207	931	812	119	-3
2260	Ånge                                              	10323	-119	78	166	415	444	-29	-2
2284	Örnsköldsvik                                      	55387	103	593	650	1643	1482	161	-1
23	Jämtland                                          	126897	-40	1344	1477	4251	4152	99	-6
2326	Berg                                              	7533	-53	59	97	347	360	-13	-2
2305	Bräcke                                            	7009	-100	52	108	313	357	-44	0
2361	Härjedalen                                        	10645	-54	81	146	512	497	15	-4
2309	Krokom                                            	14324	20	178	139	786	806	-20	1
2303	Ragunda                                           	5681	-66	50	77	262	299	-37	-2
2313	Strömsund                                         	12532	-147	94	208	440	474	-34	1
2321	Åre                                               	10259	132	113	109	810	681	129	-1
2380	Östersund                                         	58914	228	717	593	3162	3059	103	1
24	Västerbotten                                      	257812	219	2865	2586	8100	8155	-55	-5
2403	Bjurholm                                          	2516	-33	13	37	91	100	-9	0
2425	Dorotea                                           	2914	-79	29	56	104	156	-52	0
2481	Lycksele                                          	12477	-26	138	157	454	461	-7	0
2418	Malå                                              	3369	31	30	38	163	122	41	-2
2401	Nordmaling                                        	7276	-114	63	98	264	343	-79	0
2417	Norsjö                                            	4363	-17	45	60	160	161	-1	-1
2409	Robertsfors                                       	6900	-9	66	78	341	339	2	1
2482	Skellefteå                                        	71862	-228	721	844	1938	2046	-108	3
2422	Sorsele                                           	2733	-78	23	39	109	171	-62	0
2421	Storuman                                          	6304	-79	60	76	231	294	-63	0
2480	Umeå                                              	112728	957	1436	737	6749	6487	262	-4
2462	Vilhelmina                                        	7220	0	73	91	276	258	18	0
2404	Vindeln                                           	5613	-27	51	103	295	270	25	0
2460	Vännäs                                            	8357	6	98	115	445	420	25	-2
2463	Åsele                                             	3180	-85	19	57	118	165	-47	0
25	Norrbotten                                        	249677	-925	2380	2865	6343	6778	-435	-5
2506	Arjeplog                                          	3146	57	21	47	216	133	83	0
2505	Arvidsjaur                                        	6665	-86	59	109	268	304	-36	0
2582	Boden                                             	27535	-303	242	348	1163	1360	-197	0
2523	Gällivare                                         	18703	-157	155	214	579	676	-97	-1
2583	Haparanda                                         	10173	-19	97	151	552	510	42	-7
2510	Jokkmokk                                          	5305	-101	32	91	219	260	-41	-1
2514	Kalix                                             	17162	-121	165	220	537	610	-73	7
2584	Kiruna                                            	23099	-23	236	236	803	824	-21	-2
2580	Luleå                                             	73406	260	766	631	3510	3381	129	-4
2521	Pajala                                            	6429	-93	41	133	211	212	-1	0
2581	Piteå                                             	40902	-59	430	425	1377	1440	-63	-1
2560	Älvsbyn                                           	8465	-80	71	110	331	373	-42	1
2513	Överkalix                                         	3715	-80	26	75	118	149	-31	0
2518	Övertorneå                                        	4972	-120	39	75	215	302	-87	3
